SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1
238/22,Fal,B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,20/04/2022,ND,ND,ND,ND,ND,ND,ND
239/22,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,20/04/2022,ND,ND,ND,ND,ND,ND,ND
240/22,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,20/04/2022,ND,160,ND,ND,ND,ND,ND
241/22,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,20/04/2022,ND,ND,ND,ND,ND,ND,ND
242/22,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,19/04/2022,ND,ND,ND,ND,ND,ND,ND
243/22,Carn ar Wig,B097F,Pembrokeshire CC,SM72582343,Porthllisky,20/04/2022,ND,ND,ND,ND,ND,ND,ND
244/22,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,20/04/2022,ND,ND,ND,ND,ND,ND,ND
245/22,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,20/04/2022,ND,40,ND,ND,ND,ND,ND
246/22,Swale,B076P,Swale BC,TR01316497,The Causeway,20/04/2022,ND,ND,ND,ND,ND,ND,ND
247/22,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,20/04/2022,ND,ND,ND,ND,ND,ND,ND
248/22,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,20/04/2022,ND,ND,ND,ND,ND,ND,ND
249/22,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,20/04/2022,ND,ND,ND,ND,ND,ND,100
250/22,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,21/04/2022,ND,ND,ND,ND,ND,ND,ND
251/22,Deben,B010O,East Suffolk DC,TM28834500,Stonner Point,22/04/2022,ND,ND,ND,ND,ND,ND,ND
252/22,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,25/04/2022,"Unable to analyse, too much sediment",,,,,,
253/22,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,25/04/2022,ND,ND,ND,ND,ND,ND,ND
254/22,Roach,B73AF,London PHA,TQ94909207,Paglesham,25/04/2022,ND,ND,ND,ND,ND,ND,ND
255/22,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,25/04/2022,ND,ND,ND,ND,ND,ND,ND
256/22,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,26/04/2022,ND,ND,ND,3880,ND,ND,ND
257/22,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,26/04/2022,"Unable to analyse, too much sediment",,,,,,
258/22,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,25/04/2022,ND,ND,ND,200,ND,ND,ND
259/22,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,25/04/2022,ND,40,ND,40,ND,ND,ND
260/22,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,27/04/2022,ND,ND,ND,2400,ND,ND,ND
261/22,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,26/04/2022,ND,ND,4360,ND,ND,ND,ND
262/22,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,27/04/2022,ND,ND,ND,ND,ND,ND,ND
264/22,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,27/04/2022,ND,40,ND,ND,ND,ND,ND
265/22,Lantivet Bay,B70AH,Cornwall PHA,SX16305094,Sandheap Point,27/04/2022,ND,300,ND,ND,ND,ND,ND
