DATE-YMD,PSAL= Hadley-EN4 Salinity () at 5 m,
2011-09-15,      36.254,
2011-10-15,      36.319,
2011-11-15,      36.379,
2011-12-15,      36.272,
2012-01-15,      36.297,
2012-02-15,      36.264,
2012-03-15,      36.042,
2012-04-15,      36.066,
2012-05-15,      36.029,
2012-06-15,      36.013,
2012-07-15,      36.119,
2012-08-15,      36.088,
2012-09-15,      36.181,
2012-10-15,      36.248,
2012-11-15,      36.139,
2012-12-15,      35.918,
2013-01-15,      36.030,
2013-02-15,      36.093,
2013-03-15,      35.996,
2013-04-15,      35.911,
2013-05-15,      35.950,
2013-06-15,      35.975,
2013-07-15,      36.132,
2013-08-15,      36.115,
2013-09-15,      35.891,
2013-10-15,      35.921,
2013-11-15,      35.876,
2013-12-15,      36.090,
2014-01-15,      35.989,
2014-02-15,      36.123,
2014-03-15,      35.876,
2014-04-15,      35.863,
2014-05-15,      35.691,
2014-06-15,      35.696,
2014-07-15,      35.852,
2014-08-15,      36.051,
2014-09-15,      36.124,
2014-10-15,      36.084,
2014-11-15,      36.064,
2014-12-15,      36.081,
2015-01-15,      36.177,
2015-02-15,      36.213,
2015-03-15,      35.957,
2015-04-15,      35.830,
2015-05-15,      35.755,
2015-06-15,      35.793,
2015-07-15,      35.831,
2015-08-15,      36.019,
2015-09-15,      36.171,
2015-10-15,      36.094,
2015-11-15,      36.081,
2015-12-15,      35.968,
2016-01-15,      35.933,
2016-02-15,      35.911,
2016-03-15,      35.920,
2016-04-15,      35.921,
2016-05-15,      35.929,
2016-06-15,      35.924,
2016-07-15,      35.927,
2016-08-15,      35.980,
2016-09-15,      36.005,
2016-10-15,      36.044,
2016-11-15,      35.935,
2016-12-15,      35.979,
2017-01-15,      36.019,
2017-02-15,      36.068,
2017-03-15,      35.980,
2017-04-15,      35.895,
2017-05-15,      35.758,
2017-06-15,      35.939,
2017-07-15,      36.054,
2017-08-15,      36.051,
2017-09-15,      36.124,
2017-10-15,      36.080,
2017-11-15,      36.152,
2017-12-15,      36.175,
2018-01-15,      36.002,
2018-02-15,      35.934,
2018-03-15,      35.983,
2018-04-15,      35.945,
2018-05-15,      35.850,
2018-06-15,      35.935,
2018-07-15,      35.954,
2018-08-15,      36.006,
2018-09-15,      35.930,
2018-10-15,      35.988,
2018-11-15,      35.967,
2018-12-15,      35.876,
2019-01-15,      35.932,
2019-02-15,      36.012,
2019-03-15,      35.952,
2019-04-15,      35.915,
2019-05-15,      35.951,
2019-06-15,      36.010,
2019-07-15,      35.975,
2019-08-15,      36.065,
2019-09-15,      36.111,
2019-10-15,      36.038,
2019-11-15,      35.905,
2019-12-15,      36.013,
2020-01-15,      35.959,
2020-02-15,      35.918,
2020-03-15,      35.984,
2020-04-15,      36.008,
2020-05-15,      35.951,
2020-06-15,      35.919,
2020-07-15,      35.884,
2020-08-15,      35.990,
2020-09-15,      36.072,
2020-10-15,      36.267,
2020-11-15,      36.383,
2020-12-15,      36.192,
2021-01-15,      36.104,
2021-02-15,      36.165,
2021-03-15,      36.198,
2021-04-15,      36.125,
2021-05-15,      36.115,
2021-06-15,      36.133,
2021-07-15,      36.007,
2021-08-15,      36.106,
2021-09-15,      36.155,
2021-10-15,      36.182,
2021-11-15,      36.106,
2021-12-15,      36.130,
